"","ligand","receptor","counts_pat2_ligands","counts_pat1_ligands","freq_pat2_ligands","freq_pat1_ligands","n_cells_with_min_umis_above_thresh","log2_FC","p.value","adj.p.value"
"INHBA_ITGAM","INHBA","ITGAM",221,41,5.45910141264006e-06,1.25649685489643e-06,95,-3.45138181177175,0.04292,0.133116279069767
"IL1A_CD74","IL1A","CD74",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.450930296886,0.00693,0.0307874306839187
"CCL3_CD209","CCL3","CD209",4991,1343,0.000123286765386817,4.11579335640466e-05,495,-3.44929191719413,0.00048,0.00354461538461538
"CXCL12_SORT1","CXCL12","SORT1",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.44317042181541,7e-05,0.000746666666666667
"IL1A_TLR8","IL1A","TLR8",692,50,1.7093656911977e-05,1.53231323767858e-06,125,-3.43928052629901,0.04822,0.145936948297604
"ICAM2_TNFRSF21","ICAM2","TNFRSF21",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.43794325718679,0,0
"CD55_PILRA","CD55","PILRA",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.43313157456937,1e-05,0.000141176470588235
"HEBP1_FPR3","HEBP1","FPR3",113,15,2.791305247187e-06,4.59693971303573e-07,108,-3.43146103553454,0,0
"PPIA_ITGAM","PPIA","ITGAM",2143,404,5.29359924311659e-05,1.23810909604429e-05,695,-3.4282860267041,0.00047,0.00351401869158878
"KLRB1_SIGLEC10","KLRB1","SIGLEC10",208,27,5.13797780013182e-06,8.27449148346432e-07,131,-3.42733308216892,0.00211,0.0121148325358852
"CXCL12_CD36","CXCL12","CD36",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.42613020646833,0,0
"CD93_CD209","CD93","CD209",398,109,9.83132290602147e-06,3.3404428581393e-06,258,-3.4238497909495,0.00047,0.00351401869158878
"HEBP1_FPR1","HEBP1","FPR1",113,15,2.791305247187e-06,4.59693971303573e-07,108,-3.42302989601655,0,0
"ICAM2_PILRA","ICAM2","PILRA",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.40949627994366,0,0
"TGFB1_CD209","TGFB1","CD209",397,110,9.80662108967468e-06,3.37108912289287e-06,313,-3.40704512234043,0.00085,0.00568245125348189
"CXCL14_CXCR3","CXCL14","CXCR3",98,4,2.42077800198519e-06,1.22585059014286e-07,48,-3.4068070515712,0.07047,0.197118881118881
"CD1D_PLAUR","CD1D","PLAUR",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.40456915344817,0,0
"IL1B_FPR3","IL1B","FPR3",7883,1070,0.000194724418261727,3.27915032863216e-05,493,-3.39933457084802,0.00042,0.00325161290322581
"CD1D_SIRPA","CD1D","SIRPA",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.39673459368578,0,0
"HEBP1_SIGLEC10","HEBP1","SIGLEC10",113,15,2.791305247187e-06,4.59693971303573e-07,108,-3.39506318520606,0,0
"CD55_IFNGR1","CD55","IFNGR1",698,80,1.72418678100578e-05,2.45170118028572e-06,342,-3.39252225174389,0,0
"IL1B_FPR1","IL1B","FPR1",7883,1070,0.000194724418261727,3.27915032863216e-05,493,-3.39089032227998,0.00021,0.00181949458483755
"IL23A_IL1RAP","IL23A","IL1RAP",512,74,1.26473299695553e-05,2.26782359176429e-06,87,-3.38973730250221,0.04541,0.139010204081633
"ANXA1_ITGAM","ANXA1","ITGAM",1234,241,3.04820413719359e-05,7.38574980561074e-06,477,-3.37731493084181,0.00021,0.00181949458483755
"LGALS3_CD209","LGALS3","CD209",1044,296,2.57886962660463e-05,9.07129436705718e-06,412,-3.37387096266906,0.00035,0.00277227722772277
"CD1D_ACVR1","CD1D","ACVR1",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.37284569283212,8e-05,0.000834782608695652
"CD1D_IL10RB","CD1D","IL10RB",266,23,6.57068314824551e-06,7.04864089332146e-07,187,-3.37068786372338,0,0
"CXCL12_BCR","CXCL12","BCR",204,21,5.03917053474467e-06,6.43571559825002e-07,137,-3.36917007231974,6e-05,0.00065158371040724
"ICAM2_IFNGR1","ICAM2","IFNGR1",103,12,2.54428708371912e-06,3.67755177042859e-07,98,-3.36890226625292,0,0
"TNF_PLAUR","TNF","PLAUR",1104,98,2.72708052468535e-05,3.00333394585001e-06,226,-3.36666442154544,0.00943,0.03936
